country,conversion_select_item,conversion_add_to_cart,conversion_begin_checkout,conversion_add_shipping_info,conversion_add_payment_info,conversion_purchase
Uruguay,81.8182,22.7273,4.54545,4.54545,4.54545,4.54545
Bolivia,80.6452,9.67742,3.22581,3.22581,3.22581,3.22581
Mexico,79.7521,13.2231,4.13223,3.30579,2.89256,2.47934
Peru,84.5455,10,2.72727,2.72727,1.81818,1.81818
Argentina,75,8.75,4.375,1.875,1.875,1.25
Chile,78.3505,17.5258,8.24742,3.09278,2.06186,1.03093
Brazil,72.6027,8.90411,2.39726,1.36986,1.36986,0.684932
Ecuador,74.5763,10.1695,5.08475,1.69492,1.69492,0
Colombia,76.3636,9.69697,4.84848,3.0303,2.42424,0
Paraguay,71.4286,9.52381,0,0,0,0
